date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3
16พฤศจิกายน2551,2612,12,612,200,685,898,248
1พฤศจิกายน2551,272028,28,28,762,853,334,219
16ตุลาคม2551,431277,77,277,983,245,266,446
1ตุลาคม2551,882911,11,911,672,43,23,113
16กันยายน2551,12377,77,377,563,785,345,576
1กันยายน2551,695993,93,993,90,272,64,139
16สิงหาคม2551,380377,77,377,361,614,454,577
1สิงหาคม2551,850348,48,348,112,363,864,89
16กรกฎาคม2551,257374,74,374,413,444,14,865
1กรกฎาคม2551,943671,71,671,500,962,874,905
16มิถุนายน2551,729111,11,111,753,393,456,398
1มิถุนายน2551,414875,75,875,353,706,667,479
16พฤษภาคม2551,329231,31,231,691,931,203,552
2พฤษภาคม2551,453011,11,11,620,11,330,17
16เมษายน2551,982800,0,800,648,25,840,430
1เมษายน2551,12653,53,653,711,241,952,5
16มีนาคม2551,74946,46,946,330,779,740,851
1มีนาคม2551,936685,85,685,50,560,853,716
16กุมภาพันธ์2551,137054,54,54,803,445,126,308
1กุมภาพันธ์2551,212684,84,684,263,114,727,327
16มกราคม2551,556010,10,10,814,135,489,429
30ธันวาคม2550,595411,11,411,812,674,907,417
16ธันวาคม2550,513501,1,501,964,254,324,607
1ธันวาคม2550,113410,10,410,184,184,856,276
16พฤศจิกายน2550,562481,81,481,731,301,987,528
1พฤศจิกายน2550,927907,7,907,882,132,775,246
16ตุลาคม2550,32988,88,988,481,586,636,858
1ตุลาคม2550,430667,67,667,760,901,41,266
16กันยายน2550,499336,36,336,452,472,736,46
1กันยายน2550,331810,10,810,692,935,55,185
16สิงหาคม2550,476207,7,207,932,342,363,124
1สิงหาคม2550,429924,24,924,290,60,488,859
16กรกฎาคม2550,527384,84,384,771,51,833,349
1กรกฎาคม2550,565151,51,151,761,462,876,389
16มิถุนายน2550,393194,94,194,419,899,74,245
1มิถุนายน2550,836393,93,393,57,392,425,234
16พฤษภาคม2550,232897,97,897,259,248,587,515
2พฤษภาคม2550,430374,74,374,815,534,428,817
16เมษายน2550,405105,5,105,630,139,878,665
1เมษายน2550,622780,80,780,936,777,948,140
16มีนาคม2550,876763,63,763,851,910,19,63
1มีนาคม2550,742425,25,425,619,492,949,428
16กุมภาพันธ์2550,277859,59,859,956,256,79,793
1กุมภาพันธ์2550,769925,25,925,568,932,392,878
16มกราคม2550,838739,39,739,552,932,638,458
30ธันวาคม2549,778584,84,584,78,114,31,649
16ธันวาคม2549,147977,77,977,454,396,946,471
1ธันวาคม2549,270052,52,52,126,214,620,912
16พฤศจิกายน2549,562856,56,856,945,83,76,803
1พฤศจิกายน2549,910957,57,957,296,477,391,379
16ตุลาคม2549,264825,25,825,589,30,923,588
1ตุลาคม2549,952335,35,335,920,78,48,799
16กันยายน2549,217948,48,948,419,162,908,641
1กันยายน2549,381761,61,761,446,6,930,936
16สิงหาคม2549,977486,86,486,912,213,52,301
1สิงหาคม2549,238654,54,654,888,470,58,174
16กรกฎาคม2549,512434,34,434,489,890,985,184
1กรกฎาคม2549,952890,90,890,651,261,830,178
16มิถุนายน2549,100935,35,935,173,814,105,952
1มิถุนายน2549,810850,50,850,995,261,493,826
